Course Code,Title,Description
ACIS 4514,- Database Management Systems,"Introduction to database management systems and their use in business.  Topics covered include data modeling, normalization, SQL, transaction management and concurrency control, security issues, physical data organization, query optimization, hierarchical queries, distributed database management systems, object-oriented databases, client/server databases, multidimensional databases, data mining, data warehousing, and database administration."
ACIS 4544,- Applied Accounting Analytics,"Application of analytics software and methodologies to address real-world based accounting activities. Examination of accounting scenarios to determine an appropriate analytic approach. Emphasis on commonly used accounting analytics software to apply the extract, transform, and load process on data. Implementation of analytics software to analyze accounting data, and evaluation and communication of the results through data visualizations."
ACIS 4654,- Accounting Analytics,"Design and development of accounting systems using relational database management tools. Extraction and analysis of accounting data using queries, analytics, and visualization techniques. Application of accounting data analytics concepts using commercially available tools such as audit management software and current visualization tools. Proper preparation of data and use of analytics algorithms and visualization techniques to inform decision making."
ACIS 4664,"- Environmental, Social, and Governance Accounting","Introduction to procedures for extracting and quantifying quality of corporate Environmental, Social, and Governance (ESG) information and assessment of compliance with current accounting standards. Analysis of corporate ESG data and impact on Financial Statements for corporate environmental and social justice decision-making. Introduction and differentiation of U.S. and international regulatory bodies promulgating ESG standards. Discussion of disclosure components, frameworks, and standards concerning accounting and business-related ESG information. Exploration of incremental decision usefulness of ESG information for various stakeholders beyond traditional accounting financial statements. Presentation of attestation and assurance methodologies related to disclosed corporate ESG accounting information."
ACIS 4684,- Information Systems Security and Assurance,"An examination of the concepts, technologies, and applications of security and assurance in information systems.  Topics include the security threats against information systems; tools used by intruders; computing platforms and security; encryption; securing the transaction and the server; audit tools to detect intrusions; responses to attacks; legal, ethical and international issues; and the future of information systems security and assurance."
ACIS 4954,- Study Abroad,No description available
ACIS 4974,- Independent Study,No description available
ACIS 4984,- Special Study,No description available
ACIS 4994,- Undergraduate Research,No description available
ACIS 5014,- Information Systems Audit and Control,"This course explores the theories and practices of audit and control of computer-based information systems.  Audit and control of information systems is examined from the viewpoint of management, systems professionals, and auditors.  The rationale for controls, control theories, and audit practices are emphasized. Graduate Standing Required."
ACIS 5064,- Taxation of Business Operations & Advanced Individual Income Tax Topics,"Tax issues for various business operating models. Tax perspective of formation, operation, distribution of earnings, business unit acquisitions and divestitures, and liquidation. Entity types such as partnerships, S Corporations, and regular (C) Corporations. Reporting to applicable government(s) and generally accepted accounting principles (GAAP) accounting of tax results. Multistate taxation and the U.S. taxation of non-US operations. Advanced individual income taxes including passive activities, equity awards, retirement contributions, property disposals, and estate and gift taxation including usage of trust instruments. Pre: Graduate standing."
ACIS 5104,- Fundamentals of Accounting,"Fundamentals of accounting systems as they relate to decision making.  Attention is directed toward accounting for the core of management control and financial reporting systems, and as integrally related to the information system. Graduate standing required."
ACIS 5114G,- Advanced Financial Accounting,"Detailed analysis of external financial reporting. Study of debt and equity investments, derivatives, and foreign currency. Proper application of Securities and Exchange Commission reporting regulations. Pre: Graduate standing."
ACIS 5124,- Governmental and Nonprofit Accounting,"An analysis of current governmental and nonprofit accounting, budgeting, reporting, and auditing concepts, models, and practices.  Identification and evaluation of alternative concepts and models will also be emphasized. Graduate standing required."
ACIS 5144,- Financial Statements for Managers,"Use and analysis of financial accounting information. Business decisions based on advanced statistical analysis of financial data. Estimation of company value, past performance, and forecasted future performance. Impact of operating, investing, and financing activities. Pre: Graduate standing."
ACIS 5154,- Analyzing Financials and Implementing Controls,"Financial statement analysis as an aid to decision making. Investing and lending decisions as they affect financial statement users of domestic, global, and entrepreneurial companies.  Analysis and design of control systems to accomplish short-term objectives and enable management attention on long term strategic issues."
ACIS 5194,- Financial Statement Analysis,"Detailed treatment of analyzing financial statements for making lending and equity investment decisions. In depth coverage of how to analyze a company's industry, competitive advantages, accounting quality, profitability, and risk. Introduction to forecasting financial statements and application of financial statement forecasting to equity valuation."
ACIS 5314,- Tax Concepts and Research,"Tax research process including analysis of fundamental tax concepts underlying interpretation and application of tax law, mechanics of tax research, written and oral communication of research results, tax planning, and practice and procedure before tax authorities. The course explores the sources and hierarchy of tax law and the interaction of law and its interpretation and application to contemporary tax issues, as well as the recognition of the impact on and opportunities for future tax planning. Graduate standing required."
ACIS 5324,- Taxation of Business Entities,"The tax aspects of forming and operating partnerships and corporations, and the sale and liquidation of a partnership interest. Graduate standing required."
ACIS 5334,- Advanced Corporate Tax,"Covers the tax aspects of corporate redemptions, liquidations, and reorganization. The law of consolidated tax returns will also be covered."
ACIS 5364,- Multi-jurisdictional Tax Concepts,Tax issues of business enterprises operating in multiple taxing jurisdictions; multi-state and international taxation will be discussed. Graduate standing required.
ACIS 5414,- Advanced Financial Statement Auditing,"In-depth exposure to auditing concepts, and applications. Study of financial statement business cycles. Study of the auditing environment as well as professional and regulatory standards for the profession. Examine the use of technology throughout the auditing process. Pre: Graduate Standing."
ACIS 5424,- Research and Analysis in Accounting,"Analysis and research of potential solutions to complex accounting and financial reporting problems. Problem-solving using professional accounting standards databases and academic accounting research. Critical evaluation of accounting theories, measurement, and academic accounting research. Verbal and written communication of research findings and recommendations. Pre: Graduate standing."
ACIS 5444,- Forensic and Investigative Accounting,"Forensic Accounting is a specialized area of accounting which uses accounting methods and financial techniques to assist in solving economic-based crimes. This course will provide students an opportunity to gain experiences in forensic accounting as well as commonly used computer forensic software and techniques. The focus is on litigation support, fraud risk management, fraud investigation, and the related audit tools. Pre: Graduate standing."
ACIS 5504,- Information Systems Design and Database Concepts,This course is an introduction to design methodologies in information systems.  Structured systems analysis and design methodologies are discussed. An introduction to database design methodologies is also included. Topics related to different database models and their implementation is discussed. Students are also required to design and implement information systems using appropriate computer software. Pre: MBA/MACCT standing.
ACIS 5524,- Advanced Database Management Systems,"This course relates database theories and practices to concepts from other areas, such as programming languages, algorithms, data structures, and information systems. The relational, network, and hierarchical models are introduced.  A major portion of the course deals with data manipulation languages for the relational model, design theory for relational databases, and query optimization."
ACIS 5534,- Information Systems Analysis and Design,"Modeling of semantically-driven information systems. Object-oriented (OO) requirements definition, analysis, modeling, and design. Application of unified modeling language (UML) techniques for development of OO designs of information systems in complex business situations. Development of use cases, activity diagrams, sequence and communication diagrams, class hierarchies, behavioral state machines, package diagrams, object persistence formats, navigation diagrams and deployment diagrams. Management of the systems development process, including the spiral construction and implementation phases of the process. Pre: Graduate standing."
ACIS 5574,- Healthcare Data Management,"Organization and management of data in the health care industry. Includes standards for electronic health records, healthcare enterprise systems architecture, health database design, existing database platforms, data integration from multiple sources, and database accessibility. Analysis of health-care-related organizations from the perspective of multiple user groups including patients, technicians, nurses, physicians, clinics, hospitals, and insurance companies."
ACIS 5584,- Info Sys Security & Assurance,"An examination of the concepts, technologies, and applications of security in information systems. Topics include cryptography; security and threats to computers, e-mail systems, and internet networks; intrusion detection systems; and e-business security. Graduate standing required."
ACIS 5604,- Accounting Fundamentals,"An introduction for practicing executives to financial accounting cycles and transactions, financial statement reporting, and internal managerial accounting and costing. This course is designed to give executives an understanding of accounting systems, and to illustrate and highlight potential points at which the systems could be manipulated. Executive MBA students only."
ACIS 5614,- Implementing Management Controls,"The management control process is designed to influence managers and other employees of an organization to implement the strategies of the organization. The activities of management control include: planning, coordinating, communicating, and evaluating. This course addresses the important role that accounting and other information play in this process. Executive MBA students only."
ACIS 5624,- Cybersecurity Governance and Risk Management,"Cybersecurity governance and risk management programs in organizations.  Governance frameworks for cybersecurity and external drivers for cybersecurity. Risk management, including existing frameworks, principles, and strategies related to risk assessment and implementation of cybersecurity policies, controls, and procedures. Budgeting and evaluation of risk management programs. Compliance with organizational cybersecurity programs, including risks of insider threats, management of security-related personnel, and establishment of cyber hygiene.  Cybersecurity governance in relation to cybersecurity regulation."
ACIS 5644,- Applied Accounting Analytics,"Application of analytics software and methodologies to address real-world based accounting activities. Examination of accounting scenarios to determine and apply an appropriate analytic approach. Research and application of accounting analytic techniques. Emphasis on techniques available in commonly used accounting analytics software to apply the extract, transform, and load process on data. Implementation of analytics software to analyze accounting data and communicate the results through data visualizations. Recognizing the impacts of accounting analytics software across the profession including data driven analysis required in financial, managerial, and tax accounting as well as auditing and advisory services.  Pre: Graduate Standing"
ACIS 5654G,- Advanced Accounting Analytics,"Design and development of accounting systems using relational database management tools. Extraction and analysis of accounting data using queries, analytics, and visualization techniques. Application of accounting data analytics concepts using commercially available tools such as audit management software and current visualization tools Proper preparation of data and use of analytics algorithms and visualization techniques to inform decision making. Pre: Graduate Standing."
ACIS 5664,"- Environmental, Social, and Governance Accounting","Procedures for extracting and quantifying quality of corporate Environmental, Social, and Governance (ESG) information and assessment of compliance with current accounting standards. Corporate ESG data and impact on Financial Statements for corporate environmental and social justice decision-making. Differentiation of U.S. and international regulatory bodies promulgating ESG standards. Disclosure components, frameworks, and standards concerning accounting and business-related ESG information. Incremental decision usefulness of ESG information for various stakeholders beyond traditional accounting financial statements. Attestation and assurance methodologies related to disclosed corporate ESG accounting information. Quality and completeness of ESG corporate disclosures. Formulation of disclosure metrics to enhance usefulness of corporate ESG information. Pre: Graduate standing."
ACIS 5704,- Managing Information for Executive Decision Making,"An overview of the theories, practices, and technologies used in the management of information systems for business decision making. Topics include use of information systems, electronic business, business intelligence tools and knowledge management, customer relationship management systems, data warehousing, virtual teams and organizations, and information security and privacy, and their role in improving organizational decision-making capabilities. Graduate standing in EMBA or PMBA program required."
ACIS 5754,- Internship in Accounting,"Full time, supervised internship experience at a public accounting firm, private company or governmental or nonprofit entity to gain practical, professional experience. Focus on advanced accounting concepts, procedures, and problem-solving tools applied in real-world environment through both individual and group work. Reporting on insights obtained during internship experience."
ACIS 5894,- Final Examination,No description available
ACIS 5954,- Study Abroad,No description available
ACIS 5964,- Field Study,No description available
ACIS 5974,- Independent Study,No description available
ACIS 5984,- Special Study,No description available
ACIS 5994,- Research And Thesis,No description available
ACIS 6004,- Accounting and Information Systems Research Methods,"A doctoral level seminar emphasizing the understanding and application of research methods used in Accounting and Information Systems Research.  Course activities concentrate on initiating doctoral students to the perspectives, methods, techniques, and skills necessary for conducting research in the Accounting and Information Systems disciplines.  Topics covered include philosophy of science, the nature of theory, research methods, study design, and measurement.  Students evaluate and present research from current journals, develop research proposals, and write a literature review for a topic of their choice.  Doctoral standing is required."
ACIS 6014,- Behavioral Research in Accounting Seminar,A doctoral level seminar emphasizing the design and evaluation of research conducted in the behavioral research area of accounting.  The primary emphasis is on behavioral decision theory and its applications to the accounting function.  Primary seminar material is selected from recent journal articles and current working papers on relevant topics.  Requires development and presentation of research proposal related to behavioral research in accounting.
ACIS 6024,- Financial Capital Markets in Accounting Seminar,A doctoral level seminar emphasizing the design and evaluation of research conducted in the financial capital markets area of accounting.  Concentrates on empirical markets-based research concepts and methodologies utilized in accounting.  Primary seminar material is selected from recent journal articles and current working papers on relevant topics.  Requires development and presentation of research proposal related to capital markets in accounting.
ACIS 6044,- Seminar in Archival Audit Research,Review and critique of seminal journal articles and working papers that examine audit quality using archival research methods. Theoretical development of research questions on audit quality and application of rigorous research designs on the determinants and consequences of audit quality. Research inquiry and archival methods for audit quality. Pre: Graduate standing.
ACIS 6984,- Special Study,No description available
ACIS 7994,- Research And Dissertation,No description available
ADV 2034,- Visual Communication Strategies,"Concepts and techniques of visual storytelling for corporate and commercial communication through paid, earned, shared, and owned media. Design and production of visual messages for delivery through print, photography, videography, and online channels. Analysis of effective visual communication in advertising and public relations campaigns. Ethical consideration of visual communication choices. Pre: Sophomore standing"
ADV 2134,- Introduction to Health Communication,"Introduction to health communication with a focus on current issues and perspectives, including patient-provider communication, cultural conceptions of health and illness, media portrayals of health, communication in health organizations, health communication theories, information technologies in health communication, ethical considerations, and health promotion campaigns."
ADV 3004,- Advertising Copywriting and Brand Storytelling,"Writing advertising messages for print, broadcast, and online media. Basic design and strategic messaging for visual, verbal, and video storytelling. Promotional and sales appeals for products, services, and causes. Theories of image creation and brand identity. Legal and ethical considerations in paid media."
ADV 3014,- Account Planning and Media Buying,"Account planning and media buying in an agency environment. Business and market analysis for advertising clients. Research and assessment strategies for paid-media messages. Management, motivation and persuasion theories in programming. Data analysis, creative briefs, and copy testing. Selection and scheduling of media buys to deliver promotional messages through appropriate communication channels to target audiences efficiently and effectively. Legal and ethical considerations in advertising planning and management."
ADV 3024,- Ethics and Social Responsibility in Advertising,"Social and ethical issues in commercial and corporate speech. Government regulations of advertising. Propaganda in business, social, and political communication through history. Influence of advertising on culture, social movements, and gender identity."
ADV 3034,- Topics in Public Relations and Advertising,"Selected topics in public relations and advertising. Emphasis on theoretical, practical, or ethical issues in selected contexts. May be repeated 1 time with different content for a maximum of 6 credits."
ADV 4324,- Issues in Health Communication,"Study of issues related to the theory and practice of health communication, including interpersonal, public, organizational, political, and cultural. Junior standing required."
ADV 5204,- Health Communication,"Health communication with a focus on application of communication theory to health contexts, including health literacy, patient-provider communication, electronic health and technology; health communication messages and campaigns; impact of media and culture on health; ethical communication. Pre: Graduate standing."
ADV 5554,- Health Communication Campaigns,"Investigates theory-driven, research-based approaches to health message design,
audience-centered strategies for health campaign design, and the impact of social
media and new communication technologies on health campaigns. Focus on health
communicator campaign goals including synthesizing research, understanding the audience, creating engaging and persuasive communication, and delivering messages in ways that raise awareness and increase positive health behaviors. Pre: Graduate standing"
AOE 2024,- Thin-Walled Structures,"Basic structural elements of stringer-stiffened thin-walled structures, forces, moments, stresses, and deformation of segmented bars/beams, flexure stress and deflection of beams principal plane, plane of bending and plane of loading for beams with asymmetric cross sections, stresses, and twist due to torsion, shear flow and shear center in open and closed stiffened thin-walled structures, stiffened multicell beams, materials properties and selection."
AOE 2054,- Electronics for Aerospace and Ocean Engineers,"Electrical circuits.  Discrete passive and active electrical components.  Phasors and impedence.  AC power analysis. Digital electronics.  Electronics for autonomous and piloted aerospace and ocean systems.  Electronics for vehicle navigation, guidance, and control.  Instrumentation and data acquisition systems."
AOE 2074,- Computational Methods,"Solving engineering problems using numerical methods and software, truncation and round-off error, root finding, linear and polynomial regression, interpolation, splines, numerical integration, numerical differentiation, solution of linear simultaneous equations. A grade of C- or better is required in the prerequisite."
AOE 2104,- Introduction to Aerospace Engineering and Aircraft Performance,"Overview of aerospace engineering from a design perspective; introductory aerodynamics, lift, drag, and the standard atmosphere; aircraft performance, stability, and control; propulsion; structures; rocket and spacecraft trajectories and orbits."
AOE 2114,- Fundamentals of Flight Training AOE,"Foundational course to prepare students with knowledge of basic aeronautics to take the Federal Aviation Administration Knowledge Exam, a requirement for the award of a private pilots license.  Explores airplane systems and functions, flight operations, weather, aeronautical navigation, communications, human factors, and federal aviation regulations."
AOE 2204,- Introduction to Ocean Engineering,"Introduction to the design of ocean vehicles and offshore structures.  Buoyancy.  Hull geometry, body plan drawing, coefficients of form.  Hydrostatic calculations.  Intact and damaged stability of ocean vehicles and offshore structures. Large angle stability.  Stability criteria for design and related rules and regulations.  Marine economics."
AOE 2664,- Exploration of the Space Environment,"This introductory course covers a broad range of scientific, engineering, and societal aspects associated with the exploration and technological exploitation of space. Topics covered include: science of the space environment, space weather hazards and societal impacts, orbital mechanics and rocket propulsion, spacecraft subsystems, applications of space-based technologies."
AOE 2974,- Independent Study,No description available
AOE 2984,- Special Study,No description available
AOE 2994,- Undergraduate Research,No description available
AOE 2994H,- Undergraduate Research,No description available
AOE 3014,- Fluid Dynamics for Aerospace and Ocean Engineers,"Fundamentals of fluids:  stress, statics, viscosity, laminar and turbulent flow.  Conservation of mass and momentum. Vorticity, circulation, and lift.  Navier-Stokes equations. Ideal flow in two dimensions, streamlines, stream function, velocity potential, superposition. Thin airfoil theory. Physics of laminar and turbulent boundary layers and of transition.  Boundary layer equations and basic tools for boundary layer calculation.  Collaborative problem solving."
AOE 3034,- System Dynamics and Control,"Free and forced response of first, second, and higher order linear, time-invariant (LTI) systems in frequency and time domains.  Modeling of low-order mechanical systems. Transmission and absorption of vibrations.  Transient and steady state performance specifications.  Introduction to closed-loop control using proportional-integral-derivative (PID) feedback.  Closed-loop stability analysis using root locus method."
AOE 3044,- Boundary Layer and Heat Transfer,Concepts of viscous flows and physical properties equations of laminar motion with heat and mass transfer; exact and approximate solutions; finite-difference methods; transition to turbulence; analysis in turbulent flows.  Conduction and convective heat transfer.
AOE 3054,- Experimental Methods,"Fundamental terminology of experimental work and testing in aerospace and ocean engineering. Flow quantities, displacement, and strain measurements of simple structures in both static and dynamic settings. Analog and digital instrumentation. Data acquisition systems and appropriate software. Through teamwork design, prepare, and conduct an experiment, and document its results and findings. Ethics of technical reporting, through proper external source citation and honestly describing procedures and reporting data. Statistical concepts."
AOE 3114,- Aerodynamics & Compressibility,"Inviscid aerodynamics. Wings and wing theory for low speed flight. How and when compressibility becomes important. Integral form of the conservation equations and thermodynamics. One-dimensional steady compressible flow, nozzle flows. Compressible flow with heat addition. Oblique shock waves and Prandtl-Meyer expansions. Supersonic airfoils. Aerodynamics at subsonic and transonic speeds."
AOE 3124,- Aerospace Structures,"Inertia loads on aerospace structures, introduction to 3D elasticity including strain-displacement relations, stress-strain relations, stress transformation, and equations of equilibrium, plane stress and plane strain elasticity, stress concentration factors, aerospace materials and failure criteria, margins of safety analysis, plate bending, structural stability."
AOE 3134,- Air Vehicle Dynamics,Nonlinear kinematic and dynamic equations of aircraft motion; estimation of stability derivatives from aircraft geometry; determination of steady motions; linearization; longitudinal and lateral-directional small perturbation equations; static and dynamic stability of equilibrium flight.
AOE 3144,- Space Vehicle Dynamics,Attitude representations and equations of rotational motion for rigid and multibody spacecraft; attitude determination; linearization and stability analysis of steady motions; effect of the gravity gradient; torque thrusters and momentum exchange devices.
AOE 3154,- Astromechanics,"This course teaches the application of Newtons Laws to the dynamics of spaceflight. Topics include the two-body problem equations of motion, Keplers Laws, classical orbital elements, energy and time-of-flight relations, orbit specification and determination, orbital maneuvering and orbit transfers, patched conic approximations, and relative motion."
AOE 3164,- Aerothermodynamics and Propulsion Systems,"The fundamental principles of aerothermodynamics applied to aerospace propulsion system performance analysis and design. Foundations of thermodynamics, heat transfer, compressible fluid mechanics, and combustion.  Applications of principles to air-breathing and rocket engines."
AOE 3214,- Ocean Wave Mechanics,"Introduction to theory of wave in deep and shallow water, including wave generation and propagation.  Description of wave statistics and spectral representation for realistic ocean conditions.  Introduction to ocean acoustics."
AOE 3224,- Ocean Structures,"Overview of surface ship, submarine and offshore structural systems, materials and loadings.  Application of beam and plate bending and buckling theories.  Frame structural analysis. Fatigue analysis."
AOE 3234,- Ocean Vehicle Dynamics,"Nonlinear kinematic and dynamic equations of rigid vessel motion in water; hydrostatic and hydrodynamic forces in calm water; motion response to regular and irregular waves; single, multiple and coupled motions degrees of freedom; spectral analysis of response of random seas; statistical analysis of extreme motion response; impact of seakeeping criteria on ocean vehicles design; principles of hydroelasticity; principles of maneuvering of surface and underwater vehicles."
AOE 3264,- Thermodynamics and Marine Propulsion,Fundamental thermodynamics and power cycles; marine propulsion plants and transmission systems; methods of estimating resistance of ocean vehicles; propulsion devices and their efficiencies; introduction to propeller theory; cavitation.
AOE 3354,- Avionics Systems,"A systems approach to avionics architecture for both civil and military aircraft. Emphasis on system architecture, accepted development processes, sensors, navigation, and certification. Evolution of communications, data models, and sensors required to support autonomous flight as well as the exposures to physical cyber security threats faced by flight management, navigation, and data interchange systems."
