name,description
African Graduate Students' Organization at Virginia Tech,"African Graduate Students' Organization at Virginia Tech (AGSO-VT) provides a bridge connecting current VT graduate students with incoming students from the African continent, thereby easing the process of new students integrating into the VT community. AGSO-VT also offers a supportive community to existing graduate students, while also providing a platform and a purposeful community for alumni and community members who are interested in careers and service opportunities in Africa"
African Students Association,"The African Students Association - Virginia Tech Chapter is a non-exclusive, cultural, social, and educational body geared towards serving the community and promoting unity and cultural awareness between all who find interest in Africa and its diaspora."
"Agricultural, Leadership, and Community Education Graduate Student Council","As graduate students must balance the independence and stresses of being an adult with the frustrations and worries involved in pursuing a degree, the purpose of the organization is to:"
Airsoft Club at Virginia Tech,ACVT is a platform for students participating in the sport of Airsoft with a focus on working together as a team and military simulation. We use discord as our primary source of communication: https://discord.gg/dX6U8T6zYX
"Alliance for Social, Political, Ethical and Cultural Thought Student Association","The ASPECT Student Association serves as a collective forum for members of the ASPECT Ph.D. program focusing on issues that span the social sciences and humanities. The ASA carries out events that are relevant to ASPECT students’ experiences, research, and teaching as a way to foster connections across cohorts. The ASA also co-sponsors events on campus that bring interdisciplinary issues to the university community."
ALPFA Student Chapter at Virginia Tech,"ALPFA is a non-exclusive business organization within the Pamplin College of Business that seeks to connect students with the business community and foster valuable professional relationships with recruiters and current employees from many companies. We strive to promote diversity in the workforce and provide students with valuable connections, knowledge, and skills that will prove indispensable in their future career paths."
Alpha Chi Omega,"Welcome to Alpha Chi Omega at Virginia Tech! The sisters of the Epsilon Tau chapter of Alpha Chi Omega are an embodiment of real strong women with extraordinary achievements, hopes, and dreams. Alpha Chi Omega prides itself in enriching the lives of its members through lifetime opportunities for friendship, leadership, learning, and service and through our values of wisdom, devotion and achievement. Please contact us if you have any questions and follow our Instagram!"
Alpha Chi Sigma National Co-Ed Professional Chemistry Fraternity,"The purpose of Alpha Chi Sigma is reflected in the three objects of the Fraternity, which express the true ideals of all its members."
Alpha Delta Pi,"The Eta Pi chapter of Alpha Delta Pi was founded at Virginia Tech in 1990. Alpha Delta Pi is a member of the National Panhellenic Conference with headquarters in Atlanta, GA. Alpha Delta Pi has around 187 active chapters and has more than 260,000 collegiate members nationwide. Our motto is ""We Live for Each Other"" and our philanthropic cause is the Ronald McDonald House Charities in Roanoke, Va. "
Alpha Epsilon Delta,"Alpha Epsilon Delta - the future of healthcare! We are AED, the National Health Preprofessional Honor Society at Virginia Tech. Applications are open to all students currently pursuing a career in any field of healthcare (pre-med, pre-dental, pre-optometry, pre-PT, pre-PA, nursing, etc.). We offer social and service events, leadership opportunities, study hours, professional development, and much more! Our mission is to create an inclusive community of high achieving, motivated future professionals and foster a supportive, fun, and beneficial environment. We strive to help all of our members succeed in achieving their career goals. Follow us on Instagram, check out our website, and reach out if you have questions! The next application cycle will be Fall 2024."
Alpha Epsilon Pi,"The mission of Alpha Epsilon Pi is to provide education, resources and training to the future leaders of the world’s Jewish communities. Alpha Epsilon Pi was founded to provide opportunities for Jewish men seeking the best possible college and fraternity experience."
Alpha Gamma Rho,"National Social/Professional Agricultural Fraternity. Located at 1503 Toms Creek Rd in Blacksburg, Alpha Gamma Rho is a close group of agricultural men that are steadfast in the common bonds of friendship and agriculture."
"Alpha Kappa Alpha Sorority, Incorporated","Alpha Kappa Alpha Sorority, Incorporated was founded on the campus of Howard University on January 15th, 1908. It is the first sorority established by African American women dedicated to serving all mankind. In the past years of sisterhood, our members have made strides in the African American community by upholding high scholastic and ethical standards and promoting peace worldwide. The Theta Phi Chapter of Alpha Kappa Alpha Sorority, Inc. was chartered on the campus of Virginia Tech Saturday, May 4th, 1974."
alpha Kappa Delta Phi,"        In the Spring of 2001, the Virginia Tech interest group for alpha Kappa Delta Phi began to develop in order to provide Asian American women with a source of sisterhood, leadership, scholarship and service. Strong Individuals Striving Together As Sisters (SISTAS) was established by co-founders Tina Park and Alice Vuong with the intention of laying the foundation for a chapter of the sorority on campus. Following their belief that the sorority would provide Asian American women with a support system not otherwise found on campus, the ladies of SISTAS worked persistently to become a group that would acquire the respect and interest from the Virginia Tech campus, surrounding community of Blacksburg, and the existing chapters of alpha Kappa Delta Phi."
Alpha Kappa Psi,"The Beta Xi chapter of the worlds largest, co-ed business fraternity. Recognized as the premiere developer of principled business leaders. With over 80 brothers in our chapter, and many more world wide, AKPsi works through leadership events, conferences, speakers and business meetings to prepare its brothers for the business world."
Alpha Omega,"Alpha Omega is a non-denominational Christian group associated with the Roanoke Valley Church, part of the International Churches of Christ. We strive to dedicate ourselves to imitating Jesus Christ, and to have a fellowship of believers living like the 1st-century church of Acts.  We have weekly bible discussions, Friday night devotionals, personal bible studies, and lots of other activities on campus! Come check us out!    "
"Alpha Omega Epsilon, Rho Chapter at Virginia Tech","Alpha Omega Epsilon (AΩE) is a professional and social sorority for women in STEM. Chartered on January 22, 2006, the Rho Chapter of Alpha Omega Epsilon at Virginia Tech serves to support women in STEM on campus while offering the bonds of sisterhood and a lifetime network. Sisters are from all walks of life with many different interests, and as a result, AΩE is involved in a variety of activities on campus such as service, philanthropy, intramurals, and professional development to name a few! "
Alpha Phi,"The Alpha Phi Eta Omicron chapter at Virginia Tech boasts a sisterhood of unique, diverse women. We were established on Virginia Tech's campus in 1989 and were established nationally over 150 years ago. Our chapter was founded on a passion for intellectual development, leadership, loyalty, service, and character advancement. Each day our members strive to become better than they were the day before in and outside of the classroom by living up to not only Alpha Phi's standards but Virginia Tech's high ideals as well. We recently won the Fraternity and Sorority Life Impact Award for being the first sorority in the state of Virginia to host a commitment to ending hazing workshop for all of our members. "
"Alpha Phi Alpha Fraternity, Inc.","The Theta Iota Chapter of Alpha Phi Alpha Fraternity, Inc has continued to uplift the community since 1973, when it was first chartered at Virginia Tech. We are a student organization that commits to community service, while hosting social events on campus. Our motto is ""First of all, Servants of all, We shall transcend all"". "
Alpha Pi Mu,Alpha Pi Mu is the National Honor Society for Industrial and Systems Engineering.
Alpha Psi,"In 1906 veterinary students at Ohio State University saw the benefits of fraternal life but were frustrated by the lack of a national organization for their profession. After much study and work, 22 Juniors and Seniors founded the Alpha Chapter of Alpha Psi Fraternity and by 1915 chapters had been established at 15 schools. Today, there are eleven active Alpha Psi Chapters at veterinary schools across the country.If an honor roll were established for the all time leaders of the veterinary profession in the United States, it would be heavily weighted with Alpha Psi Fraternity Members. Certainly their accomplishments are the result of individual initiative and merit but in some instances leadership and communicative skills were strengthened by their fraternity experience."
Alpha Rho Chi,The National Professional Fraternity for Architecture and the Allied Arts. Our organization unites students for the purpose of fellowship and lifelong friendships and our mutual interest in professional development. Open to any undergraduate interested in architecture and related design majors.
Alpha Sigma Kappa- Women in Technical Studies,"The Omicron Chapter of Alpha Sigma Kappa at Virginia Tech is a sorority focused on uniting women pursuing technical majors. Our goal is to encourage sisterhood and academic achievement in women in Engineering, Architecture, Mathematics, and the Sciences. While women have an ever-growing presence in these fields, we remain a minority in collegiate and professional arenas which can prove challenging. As a sorority, we offer women the opportunity to develop leadership skills, friendships, a sense of belonging, and a network of support."
Alpha Sigma Phi,"The Delta Upsilon chapter of Alpha Sigma Phi was chartered at Virginia Tech in 1995 and is currently one of the fastest growing chapters on campus, growing from 47 brothers in Spring 2018 to 151 brothers in Spring 2023. Delta Upsilon is also the fourth largest Alpha Sigma Phi chapter in the United States. We strive for excellence in academics, athletics, philanthropy, and brotherhood development. Our chapter vision is ""to Better the Man, through the creation and perpetuation of brotherhood founded upon the values of character: Silence, Charity, Purity, Honor, Patriotism."""
Alpha Tau Alpha- Alpha Lambda,"The purpose of this organization, as implied in the Preamble, is to promote the highest standards of agricultural education and a more intimate acquaintance and closer relationship with individuals who have chosen a major in agricultural education or extension education. By studying the life, preparation, and personality of great educators, by a better understanding of various aspects of the great vocations in agriculture, and life of the people engaged therein, we aspire to become such agricultural educators as shall wisely and sufficiently lead those who have chosen the vocation of agriculture, into fuller lives of success and happiness. We seek to find and enjoy the fellowship of individuals of high scholarship, of true teaching ideals, and of sincere desire to serve in agricultural leadership."
Alpha Tau Omega,"As America’s Leadership Development Fraternity, ATO provides a great opportunity for men who are looking for a true fraternal experience. Since 1865, Alpha Tau Omega has been a provider of amazing personal growth potential, life-changing brotherhood, outstanding scholarship rewards, and unlimited leadership development. More than 208,000 men have become ATOs and taken advantage of an experience like nothing else.

Alpha Tau Omega (ATO) will be actively recruiting men to become members on your campus. Being a member is a privileged and unique opportunity to join a national fraternity, which allows you to partake in our traditions and experience. You will be able to continue the legacy of ATO. As a pledge, you will be a respected member of our organization from day one, and you will not be hazed.

This is your chance to be a part of a brotherhood that provides you with support when you need it and challenges you to be better than you were yesterday. ATO is a brotherhood for life. You will be able to interact and connect to a growing network of 160,000 alumni ATOs across the country. Just imagine tapping into such a network for career opportunities upon graduation.

You are highly encouraged to check out ATO and share this information with your friends. There is no obligation to join by attending any of our information sessions starting in September. These sessions are a great way to learn about ATO, meet the National Fraternity staff and area alumni, and determine if you’re into the idea of creating your own Fraternity experience."
Alpha Zeta,"The purpose of The Fraternity of Alpha Zeta is to bind together a group of men and women interested in the continued advancement of agriculture and to foster and develop high standards of scholarship, character, leadership, and a spirit of fellowship among all its members. "
Alt Protein Project at Virginia Tech,"Join us during monthly events to learn about alternative proteins including plant-based meat, cell cultured meat, and fermentation products."
Alternative Transportation,"The Sustainable Transportation Department promotes and encourages bicycling, walking, vanpooling,"
Amateur Radio Association,"The Virginia Tech Amateur Radio Association is a student-run organization dedicated to advancing the amateur radio hobby in the Virginia Tech community. VTARA provides field communications, emergency communications, education, and volunteer testing services to the local community."
American Advertising Federation at Virginia Tech,"The AAF Chapter at Virginia Tech is a student-led organization committed to enriching the educational experience for students interested in advertising, marketing, and communications. As an affiliate of the national American Advertising Federation, our chapter offers unique opportunities for members to interact with industry professionals, participate in educational workshops, and engage in real-world advertising challenges through national competitions like the NSAC."
American Collegiate Horsemens Association,"The American Collegiate Horsemen's Association at Virginia Tech is a multi-experience club that is open to all students regardless of background or major. Members will have the opportunity to learn more about horses and the equine industry through educational meetings, extracurricular activities, service opportunities that are offered and more! If you are wanting to learn more about the equine industry, get more involved with horses, and meet new people who have the same interest, Please feel free to email us to get more information! We look forward to hearing from you! Meetings for the Fall 2024 semester are the 2nd and 4th Thursday of the month at 7pm in Etgen. "
American Fisheries Society Student Chapter at Virginia Tech, 
American Foundry Society - Student Chapter at Virginia Tech,"We are the student chapter of the American Foundry Society Piedmont Chapter. Our goal is to educate students in metalcasting and foundry practices. On the high school level we host Foundry-in-a-Box where a portable furnace is taken to high school classrooms and students can get hands-on demonstration in metalcasting. On the university level we hold monthly meetings where we discuss scholarships available, internships and co-op experiences, and have guest speakers from foundries. We also tour a local foundry at least once a semester. To introduce students to industry professionals we attends AFS meetings on the local, regional, and national level."
American Indian Science and Engineering Society at Virginia Tech,"The American Indian Science and Engineering Society (AISES) serves as a forum for undergraduate and graduate students to build a native community in the STEM field by bridging science and technology with traditional values of cooperation and support.  In addition to increasing support and cooperation among the American Indian population at Virginia Tech, this organization would potentially work with other Virginia tribal nations to increase recruitment of the American Indian population at Virginia Tech through STEM-driven events."
American Institute of Aeronautics and Astronautics Student Branch at Virginia Tech,"The American Institute of Aeronautics and Astronautics (AIAA) Student Branch at Virginia Tech is dedicated to fostering a vibrant community for those passionate about aerospace. Our branch seeks to provide numerous opportunities for students to deepen their understanding of aerospace engineering and related fields through the fostering of a dedicated community, developmental workshops, and guest lectures from academics and industry professionals. We aim to create an inclusive environment where members can collaborate, innovate, and develop the technical skills necessary for a successful career in aerospace."
American Institute of Chemical Engineers at Virginia Tech,"AIChE at VT is a professional organization devoted to the development of Chemical Engineers at VT. We host a variety of professional development meetings such as resume workshops, company recruiting events, and plant tours at nearby chemical and manufacturing facilities. We also have the opportunity for members to participate in a mentorship and tutoring programs."
American Marketing Association,"As the leading organization for marketers, AMA is the trusted go-to resource for marketers and academics. We are counted on as the most credible marketing resource where our members can stay relevant with knowledge, training, and tools to enhance lifelong learning and obtain valuable information and connections."
American Medical Student Association Pre-Medical Chapter at Virginia Tech,About Us
American Nuclear Society at Virginia Tech,"The American Nuclear Society at Virginia Tech exists to aid students interested in nuclear science and engineering, and to promote the development and application of nuclear technology for the benefit of mankind including radiation medicine and nuclear energy."
American Railway Engineering and Maintenance-of-Way Association Chapter at Virginia Tech,Join our Discord server!!!!!!
American Sign Language Club,Come sign with us!!
American Society for Engineering Education Student Chapter at Virginia Tech,"The American Society for Engineering Education (ASEE) Student Chapter at Virginia Tech is a student-based organization committed to furthering education in engineering. The mission of The ASEE Student Chapter at Virginia Tech is to provide a forum to enhance teaching and research skills, promote careers in academia, and encourage and assist undergraduates considering graduate school in the field of engineering education. "
American Society of Agricultural and Biological Engineers,"Biological engineers develop efficient, environmentally sensitive methods of producing agricultural commodities, sustainable materials, bioinformatics systems, biomolecular research, biomedical technology, food science manufacturing processes, and renewable energy sources for an ever-increasing world population. Additionally, many of our engineers focus on improving and protecting ecosystems and water quality for our environmental, agricultural, and public health."
American Society of Civil Engineers at Virginia Tech,"Virginia Tech has one of the largest ASCE collegiate chapters in the nation with membership of over 200 students. VT ASCE has been actively involved with the campus and surrounding community since our foundation in 1923. We seek to create an environment that fosters communication and interaction between civil engineering students, faculty, and practicing engineers. We aim to do this through professional and social events, providing a variety of meetings and gatherings for our members. Some examples have been professional development coffee hours, flag football evenings, intramural teams and more. "
American Society of Landscape Architects,"We conduct workshops, host lectures, organize social events, travel to conferences, and help foster relationships within the Schools of Architecture and Design, the College of Architecture, Arts, and Design, Virginia Tech, and the Blacksburg community through the exploration of landscape architecture."
Amnesty International at Virginia Tech,"Virginia Tech’s chapter of Amnesty International aims to educate in our own community about global human rights abuses. Our chapter is focused on, but not limited to, fundraising efforts, contacting representatives, raising local awareness, and upholding Amnesty’s passionate mission which reflects the values stated in the UN’s Universal Declaration of Human Rights. We hope to get the Virginia Tech community involved in the global movement toward social justice and equality. "
Animal Behavior and Welfare Club,"We provide opportunities for students to get involved with animal behavior and welfare as a science and as a career field, as well as to provide education to the community about behavior and welfare and to support for animal welfare focused organizations and faculty. Behavior and welfare is an up and coming field, and we strongly believe that it deserves more attention and involvement. This club will allow students to learn about behavior and welfare through structured activities, guest speakers, and participation in welfare judging competitions hosted by the AVMA, as well as to make connections with other students and faculty who are interested in behavior and welfare."
Appalachia Service Project at Virginia Tech,Welcome to the Appalachia Service Project!!
Arab American Association of Engineers and Architects at Virginia Tech,"The Arab American Association of Engineers and Architects (AAAEA) at Virginia Tech is dedicated to fostering academic and professional development opportunities for students while shedding light on the significant achievements of Arab Americans in the STEM field. Our mission is to bridge the gap in resources and connections for Arab-American students, an often overlooked demographic within STEM."
Arabic Language Club at Virginia Tech,"The Arabic Language Club is a non-profit student organization that works on enhancing awareness of the Arabic language, heritage, and cultures in all their diversity through social, educational, and service events. The club provides an opportunity for interaction and engagement between students who are enrolled in the Arabic class at Virginia Tech and Arab students/native speakers of Arabic. The club also seeks to highlight the students’ academic and artistic work and to give them an opportunity to engage with the community of Blacksburg and beyond.  This allows the Arabic-language students to interact with students of Arab heritage in an informal setting that promotes cross-cultural understanding."
Archimedes,Who Are We?
Army ROTC,"     The Reserve Officer Training Corps is a college elective that develops Leadership Skills in our students as they prepare for Military Service. Army ROTC offers a commission as a second lieutenant in either the active Army or Reserve Forces in a variety of career fields including combat or support areas such as Aviation, Armor, Artillery, Infantry, Engineers, Military Intelligence, Military Police, Finance and Logtistics.  There are two-, three-, and four-year scholarship programs available. Some cadets choose to join the National Guard or the Army Reserve while in Army ROTC, thus qualifying them for the Montgomery GI Bill benefits, in-state tuition (VANG) and other exciting benefits.
      Virginia Tech is one of the United States' six Senior Military Colleges and one of two such programs at a predominantly civilian university. As a graduate of a Senior Military College, a medically qualified cadet successfully completing all ROTC requirements is virtually assured of obtaining an active duty commission. A few cadets each year earn a reserve forces duty commission. These future lieutenants will serve as a commissioned officer in either the U.S. Army Reserve or the Army National Guard."
Art Club at Virginia Tech,"A club where people who wanted to take art classes or are interested in art can have the same art class experiences. We strengthen our technical skills, participate in figure drawing classes and do critiques. Here, like minded artists can come together and improve their skills together, share tips and overall have a fun time together!"
Artificial Intelligence and Machine Learning Club at Virginia Tech,"Welcome to the AI/ML Club, where we explore the future powered by code! Join us weekly to delve into the world of artificial intelligence and machine learning. We're here to ignite your passion for cutting-edge tech. Be part of our community, engage in discussions, and collaborate on ML projects. Click the Discord link to join our exciting AI/ML adventure! #JoinTheFuture"
Artificial Intelligence-Generated Content Club at Virginia Tech,Artificial Intelligence-Generated Content Club (AIGCC) at Virginia Tech
Ascent Church at Virginia Tech,"Welcome to Ascent Church, students!  We know college can be a busy time, but God often uses this season to direct the course of your life. Our vision is to be a church where students can find lots of friends and grow alongside one another in a challenging and meaningful way. Students are a vital part of Ascent Church. We would love to have you join us!"
ASDA Pre-Dental Chapter at Virginia Tech,"The Pre-Dental Club at Virginia Tech is designed to prepare the students of Virginia Tech for a career in dentistry. Meetings are designed to promote fellowship among pre-dental students. We aim to motivate interested students to pursue a career in dentistry. Through the course of the year, topics encompassing the entire field are discussed."
Asian American Student Union,"The mission of the Asian American Student Union is to serve the Asian/Pacific Islander/Desi American (APIDA) communities within Virginia Tech.  It shall act as an umbrella organization over the branching undergraduate APIDA organizations.  It shall strive to enhance and further the individual, cultural, and ethnic diversities that exist in the APIDA communities.  It shall make efforts to address the problems, issues, and concerns of the APIDA communities to the administration and other fellow student organizations. "
Aspirations Fellows,"If you’re ready to explore new things and find out who you are and what you value, if you want to experience the exhilaration of working hard and reaching your goals, if you have a desire to positively change the world, then prepare yourself for the opportunity of a lifetime. "
Aspiring Journalists at Virginia Tech,We are a student-run organization that supports journalism in every form and helps prepare students for the industry!
Association for Bangladeshi Students at Virginia Tech,"ABS is a non-profit, non-religious, non-political, student organization at Virginia Tech looking after the interests of Bangladeshi students, as well as providing a platform for such students to showcase the education, history, culture, and development issues of Bangladesh. ABS also serves to bring together the Bangladeshi community at Virginia Tech and surrounding areas. Along with that, we sponsor a wide variety of events and activities, especially the celebration of Bangladeshi festivals and volunteer services."
Association for Computing Machinery,"The Association for Computing Machinery at Virginia Tech is a student-led organization aimed at connecting students, faculty, and companies through tech-talks, presentations and social events."
Association for Supply Chain Management,"The ASCM mission is to provide a complete supply chain and manufacturing professional experience to students through education, leadership, and industry exposure to provide various career opportunities."
Association for Women in Computing,"The Association for Women in Computing is a student-run, non-profit organization at Virginia Tech.  For over 20 years, we have worked to promote the recruitment and retention of women in technology - and computer - oriented professions. This organization is not exclusive! Anyone and everyone who is passionate about computing and gender equality in the field of computing is welcome! Most members are in Computer Science (CS), Computer Engineering (CPE), Electrical Engineering (EE), Business Information Technology (BIT), Mathematics (MATH), Computational Modeling and Data Analytics (CMDA), and Statistics, but anyone passionate about our mission can join AWC in our networking, social, educational, outreach, and technical events!"
Association for Women in Mathematics,We are a chapter of the Association for Women in Mathematics at Virginia Tech. 
Association of Asian Veterinary Medical Professionals,The AAVMP was created to build a community for Asian veterinary professionals and to establish a veterinary field that reflects the diverse communities that we serve.
Association of Chinese Students and Scholars at Virginia Tech,Our organization mainly provides activities and help for Chinese group at Virginia Tech. We hold the Mid-Autumn Festival Gala and Spring Festival Gala every year. We also help new students with their life and study. Please contact any board members if you are interested to join us.
Association of Latinos for Mental Health Awareness,"The Association of Latinos for Mental Health Awareness was created in order to support the mental wellbeing of everyone around us. We aim to do this by being inclusive of everybody, destigmatizing mental health, creating a safe space for members to have open conversations, and providing resources available around campus. In addition to this we hope to inspire our members to be active in helping the community around them as well. We alone can help, but all of us together can make a difference. "
Association of Muslim Volunteers,We are focused on community service through various activities and involvement in the Blacksburg community. The mission of AMV is to develop our members into leaders who can create everlasting and meaningful change in every community they currently belong to and every community they will belong to in the future
Association of Property Management,"Property Management offers fast-growing career opportunities encompassing positions in luxury and affordable apartment developments, senior living communities, mixed-use developments, and office and retail properties.  Members of Association of Property Management have the opportunity to learn more about the field, network with others in the industry, and are placed in a great position to manage the future."
Astrobotics at Virginia Tech,Please do not request to join Astrobotics on Gobblerconnect.
Astronomy Club at Virginia Tech,The main purposes of the Astronomy Club of Virginia Tech (ACVT) are to promote the study of astronomy through public education in the Blacksburg community and to improve and increase each member's knowledge of astronomy.
Ati: Wa:oki Indigenous Community Center,"By advancing holistic student support, campus awareness, and community outreach the Indigenous Community Center strives to have a transformative impact on both the state of Native education and tribal nation building within the commonwealth and beyond."
Aurora,"The Aurora Interfaith Living-Learning Community at Virginia Tech is open to undergraduates of all, any, and no religious identities. Aurora is for students who want to make friends with diverse people, reflect on their values, and be empowered as interfaith allies. Residents will ask big questions together - about themselves, each other, and the world."
Autonomous Aerial Vehicles at Virginia Tech,"This organization focuses on designing, building, and programming autonomous UASs for the annual AUVSI SUAS competition."
AUVSI at Virginia Tech,"The Association for Uncrewed Vehicle Systems International (AUVSI) Student Chapter is part of the world's largest nonprofit organization devoted exclusively to advancing the uncrewed systems and robotics industry. With our vision of creating a career pipeline composed of workshops, projects, certifications, field trips, guest speakers, demonstrations, and more, we aim to foster growth and support students pursuing internships and/or full-time positions within the industry."
Bad-Axes,We are the Bad-Axes! We are a new organization dedicated to bringing the fun of axe throwing to all Virginia Tech students! No Experience Needed! We collaborate with Blue Ridge Axe Throwing and Arcade to host our weekly meetings right in walking distance from campus. 
Badminton Club at Virginia Tech,"Badminton is a racquet sport played using a racquet to hit a shuttlecock across the net. A renowned sport, badminton can be played as a casual outdoor activity in a yard or on a beach, while formal games are played on an indoor court. At high levels of play, the sport demands excellent fitness, which includes aerobic stamina, agility, strength, speed, and precision. It is also a technical sport, requiring good motor coordination and the development of sophisticated racquet movements.  "
Baja SAE,"What is BAJA SAE?
The Baja team at Virginia Tech participates in a national competition to design, build, and test a single seat off-road vehicle to compete in informal and SAE sanctioned events."
Ballet Project at Virginia Tech,"The Ballet Project at Virginia Tech is the university’s only student-run ballet company. Our mission is to provide a fun and educational environment in which classical ballet can be explored, practiced and performed."
Ballroom Dance at Virginia Tech,"We're a social ballroom dance club for the casual dancer! No partner or experience necessary. All beginner lessons start with the basics, so even if you don't know how to dance, you are still welcome! You are not required to be a student to join. Dues are $40 for a semester, or $70 for the year. If paying dues is a hardship for you, please let us know. We want everyone to be able to participate!"
Bamboom Dance Crew,"Established in February 2008, Bamboom Dance Crew is a student run organization here at Virginia Tech. Bamboom is made up of talented members who embrace their passion of dance and strive to share that with the community. Our styles range from classic hip-hop to modern contemporary, and everywhere in between. More than just a student organization, we are a family who aims to entertain the Virginia Tech community and inspire others to dance."
Baptist Collegiate Ministries,"Baptist Collegiate Ministries at Virginia Tech is a student organization that exists to equip students to be after God's heart, in community, and on mission. We do that through opportunities like Bible studies, conferences, student-led worship, service projects, and mission trips.  We seek to connect students with local churches and see them become leaders in the community. The BCM made up of both undergraduates and graduates and is for more than just Baptist students, but it is sponsored by the Baptist General Association of Virginia."
Beekeepers at Virginia Tech,"We are a club that focuses on the art of keeping bees, exploring all aspects from hive management to honey production. We aim to grow our knowledge of bees and reach our community with the importance of apiculture. Through education and communication, we want to encourage everyone to have a part in keeping bees and cultivate the perfect hive of people!"
Bengali Students' Association,"Officially founded in 2007, the main purpose of the organization was and still remains to make the incoming international students from the province of West Bengal, India feel welcome and get comfortable in a new land. Many of the graduate students spend close to 5 years in VT essentially making it a home away from their homes. We celebrate two major festivals of the Bengalis, Durga puja in the Fall and Saraswati puja in the Spring. Over the years, these events have crossed regional boundaries and have attracted students from all around the world. We sometimes collaborate with Association for Bangladeshi Students' (ABS) and Indian Student Organization (ISA) in certain events. "
Beta Theta Pi,"We are a social organization that fosters a dedication to academic, philanthropic, and service excellence in the Virginia Tech, Blacksburg, and New River Valley communities."
Beta Upsilon Chi Fraternity,"Beta Upsilon Chi (BYX), or Brothers Under Christ Fraternity, is a lifelong brotherhood of committed Christian men seeking the bonds of brotherhood and unity in Christ through the avenue of a social fraternity on a college campus."
Bevlee Watford Society,"As a student-led organization, we aim to make the mining community a warm and welcoming environment for all individuals by promoting diversity in both the department and the mining industry through outreach, field trips, and collaboration between the many mining student groups and organizations."
Bhangra at Virginia Tech,"Bhangra at Virginia Tech is a competitive, cultural dance team. Bhangra is a dance that originated in the state of Punjab, India. For over eight years, Bhangra @ VT has competed across the country while representing the Hokie pride and spirit. We compete at various competitions throughout the country and perform at various school events, including Gobblerfest, VT's Best Dance Crew, and cultural shows. Please visit our Instagram for our most recent updates at all times. "
Bikesburg Transit Advocacy Group,"We are a group focused on increasing and improving sustainable transportation on and around campus, whether through bike and pedestrian transportation or public transportation."
