VCCS Course Number,VCCS Course Title,VCCS Credits,VT Course Number,VT Course Title,VT Credits,Comments

ADJ 216	ORGANIZED CRIME AND CORRUPTION	3	CRIM 2XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 225	COURTS AND THE ADMINISTRATION OF JUSTICE	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 227	CONSTITUTIONAL LAW FOR JUSTICE PERSONNEL	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 229	COMMUNITY POLICING IN MODERN SOCIETY	3	CRIM 2XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 231	COMMUNITY POLICING	3	CRIM 2XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 232	DOMESTIC VIOLENCE	3	CRIM 2XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 233	MULTUICULTURALISM IN POLICING	3	CRIM 2XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 234	TERRORISM AND COUNTER-TERRORISM	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 243	HOMELAND SECURITY AND LAW	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 244	TERRORISM RESPONSE PLANNING	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 247	CRIMINAL BEHAVIOR	3	SOC 2404	DEVIANT BEHAVIOR	3	
ADJ 248	PROBATION, PAROLE, AND TREATMENT	3	CRIM 2XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 250	GLOBAL SECURITY CONCEPTS FOR LAW ENFORCEMENT AND NATIONAL SECURITY	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 252	COUNTERINTELLIGENCE CONCEPTS FOR LAW ENFORCEMENT AND NATIONAL SECURITY	3	PSCI 2XXX	POLITICAL SCIENCE ELECTIVE	3	
AGR 141	INTRO TO ANIMAL SCIENCE & TECHNOLOGY	4	APSC 1454+APSC 1XXX	INTRODUCTION TO ANIMAL & POULTRY SCIENCE + ANIMAL AND POULTRY SCIENCES ELECTIVE	3+1	
AGR 142	INTRO TO PLANT SCIENCE & TECHNOLOGY	3-4	CSES 2444 OR CSES 2444 + CSES 2XXX	AGRONOMIC CROPS OR ARGONOMIC CROPS + CROP AND SOIL ENVIRONMENTAL SCIENCE ELECTIVE	3 OR 3+1	
AGR 143	INTRO TO AGRIBUSINESS AND FINANCIAL MANAGEMENT	3	AAEC 2434	FOUNDATIONS IN AGRIBUS	3	
AGR 231	AGRIBUSINESS MARKETING, RISK MANAGEMENT, AND ENTREPRENEURSHIP	3	AAEC 2XXX	AGRICULTURAL AND APPLIED ECONOMICS ELECTIVE	3	
AGR 241	AG POLICY, LEADERSHIP, & PROFESSIONAL SERVICE	3	AAEC 2XXX	AGRICULTURAL AND APPLIED ECONOMICS ELECTIVE	3	
AIR	ALL A/C AND REFRIGERATION COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
AMT	ALL AVIATION MAINTENANCE TECHNOLOGY COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
APL	ALL APPLIANCE SERVICING COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
ARA 101	BEGINNING ARABIC I	4	ARBC 1105 + ARBC 1XXP	ELEMENTARY ARABIC + ARABIC ELECTIVE	3+1	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ARA 102	BEGINNING ARABIC II	4	ARBC 1106 + ARBC 1XXP	ELEMENTARY ARABIC + ARABIC ELECTIVE	3+1	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ARA 103	BASIC SPOKEN ARABIC I	3	ARBC 1XXX	ARABIC ELECTIVE	3	
ARA 201	INTERMEDIATE ARABIC I	4	ARBC 2105 + ARBC 2XXP	INTERMEDIATE ARABIC + ARABIC ELECTIVE	3+1	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ARA 202	INTERMEDIATE ARABIC II	4	ARBC 2106 + ARBC 2XXP	INTERMEDIATE ARABIC + ARABIC ELECTIVE	3+1	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ARC 100	INTRODUCTION TO ARCHITECTURE	3	ARCH 1XXX	ARCHITECTURE ELECTIVE	3	
ARC 105	ORIENTATION AND HISTORY OF ARCHITECTURE	1	ARCH 1XXX	ARCHITECTURE ELECTIVE	1	
ARC 115	ARCHITECTURAL GRAPHICS	2	ARCH 1XXX	ARCHITECTURE ELECTIVE	2	
ARC 121	ARCHITECTURAL DRAFTING I	3	ARCH 1XXX	ARCHITECTURE ELECTIVE	3	
ARC 122	ARCHITECTURAL DRAFTING II	3	ARCH 1XXX	ARCHITECTURE ELECTIVE	3	
ARC 123	ARCHITECTURAL GRAPHICS I	3	VT 1XXX	VIRGINIA TECH ELECTIVE	3	
ARC 124	ARCHITECTURAL GRAPHICS II	3	VT 1XXX	VIRGINIA TECH ELECTIVE	3	
ARC 130	INTRODUCTION TO MATERIALS & METHODS OF CONSTRUCTION	3-4	ARCH 1XXX	ARCHITECTURE ELECTIVE	3-4	
ARC 131	MATERIALS AND METHODS OF CONSTRUCTION I	3	BC 1XXX	BUILDING CONSTRUCTION ELECTIVE	3	
ARC 131 + ARC 132	MATERIALS AND METHODS OF CONSTRUCTION I + MATERIALS AND METHODS OF CONSTRUCTION II	3+3	BC 2044 + BC 1XXX	BUILDINGS AND MATERIALS + BUILDING CONSTRUCTION ELECTIVE	3+3	BOTH COURSES ARE REQUIRED FOR EQUIVALENT CREDIT.
ARC 132	MATERIALS AND METHODS OF CONSTRUCTION II	3	BC 1XXX	BUILDING CONSTRUCTION ELECTIVE	3	
ARC 133	CONSTRUCTION METHODOLOGY & PROCEDURES I	3	ARCH 1XXX	ARCHITECTURE ELECTIVE	3	
ARC 134	CONSTRUCTION METHODOLOGY & PROCEDURES II	3	ARCH 1XXX	ARCHITECTURE ELECTIVE	3	
ARC 138	STRUCTURES FOR ARCHITECTS	3	ARCH 1XXX	ARCHITECTURE ELECTIVE	3	
ARC 200	HISTORY OF ARCHITECTURE	4	ARCH 2XXX	ARCHITECTURE ELECTIVE	4	
ARC 201	HISTORY OF MODERN ARCHITECTURE	2-3	ARCH 2XXX	ARCHITECTURE ELECTIVE	2-3	
ARC 212	ARCHITECTURAL DRAFTING III	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 220	INTRO TO LANDSCAPE ARCHITECTURE AND SITE PLANNING	3	LAR 2XXX	LANDSCAPE ARCHITECTURE ELECTIVE	3	
ARC 221	ARCH CAD APPLICATIONS SOFTWARE I	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 222	ARCH CAD APPLICATIONS SOFTWARE II	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 225	SITE PLANNING AND TECHNOLOGY	3	LAR 2XXX	LANDSCAPE ARCHITECTURE ELECTIVE	3	
ARC 231	ADVANCED ARCH DESIGN & GRAPHICS I	4	ARCH 2XXX	ARCHITECTURE ELECTIVE	4	
ARC 232	ADVANCED ARCH DESIGN & GRAPHICS II	4	ARCH 2XXX	ARCHITECTURE ELECTIVE	4	
ARC 240	DESIGNING SUSTAINABLE BUILT ENVIRONMENTS	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 241	BUILDING MECHANICAL SYSTEMS	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 242	BUILDING ELECTRICAL SYSTEMS	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 243	ENVIRONMENTAL SYSTEMS	4	ARCH 2XXX	ARCHITECTURE ELECTIVE	4	
ARC 246	MATERIALS AND METHODS OF CONSTRUCTION	4	BC 2044 + BC 2XXX	BUILDINGS AND MATERIALS + BUILDING CONSTRUCTION ELECTIVE	3+1	
ARC 251	ARCHITECTURAL DRAWING I	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARC 258	BUILDING CODES, CONTRACT DOCS & PROF OFFICE PRACTICE	3	ARCH 2XXX	ARCHITECTURE ELECTIVE	3	
ARO	ALL AVIATION COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
ART 100	ART APPRECIATION	3	ART 1XX6A	ART ELECTIVE	3	APPLIES TO GENERAL EDUCATION, PATHWAY 6A
ART 101	HISTORY OF ART: PREHISTORIC TO GOTHIC	3	ART 2385	SURVEY OF THE HISTORY OF WESTERN ART	3	
ART 102	HISTORY OF ART: RENAISSANCE TO MODERN	3	ART 2386	SURVEY OF THE HISTORY OF WESTERN ART	3	
ART 103	HISTORY FAR EASTERN ART I	3	ART 1XXX	ART ELECTIVE	3	
ART 109	HISTORY OF WOMEN ARTISTS	3	ART 1XXX	ART ELECTIVE	3	
ART 114	GENERAL ART	3	ART 1XXX	ART ELECTIVE	3	
ART 115	CURRENT ISSUES IN WEB DESIGN	1	ART 1XXX	ART ELECTIVE	1	
ART 116	DESIGN FOR THE WEB I	3	ART 1XXX	ART ELECTIVE	3	
ART 117	DESIGN FOR THE WEB II	3	ART 1XXX	ART ELECTIVE	3	
ART 120	BEGINNING DRAWING	2	ART 1XXX	ART ELECTIVE	2	
ART 121	FOUNDATIONS OF DRAWING	3	ART 1404	PRINCIPLES OF DRAWING	3	
ART 125	INTRODUCTION TO PAINTING	3	ART 1XXX	ART ELECTIVE	3	
ART 130	INTRODUCTION TO MULTIMEDIA	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 131	TWO-DIMENSIONAL DESIGN	3	ART 1204	PRINCIPLES OF 2D ART AND DESIGN	3	
ART 132	THREE-DIMENSIONAL DESIGN	3	ART 1214	PRINCIPLES OF 3D ART AND DESIGN	3	
ART 134	THREE DIMENSIONAL DESIGN	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 135	VISUAL COMMUNICATIONS	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 138	FIGURE DRAWING	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 140	INTRODUCTION TO GRAPHIC SKILLS	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 141	TYPOGRAPHY I	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 142	TYPOGRAPHY II	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 145	INTRODUCTION TO FASHION DESIGN	3	FMD 1XXX	FASHION MERCHANDISING & DESIGN ELECTIVE	3	
ART 148	GARMENT CONSTRUCTION	3	FMD 1XXX	FASHION MERCHANDISING & DESIGN ELECTIVE	3	
ART 150	HISTORY OF FILM AND ANIMATION	3	CINE 1XXX	CINEMA ELECTIVE	3	
ART 153	CERAMICS I	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 154	CERAMICS II	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 160	FILM PRODUCTION I	3	CINE 1XXX	CINEMA ELECTIVE	3	
ART 161	FILM PRODUCTION II	3	CINE 2064	INTRO TO CINEMA PRODUCTION	3	
ART 180	INTRODUCTION TO COMPUTER GRAPHICS	3	ART 1XXX	ART ELECTIVE	3	
ART 183	INTRODUCTION TO ART THERAPY	3	ART 1XXX	ART ELECTIVE	3	
ART 184	SURVEY OF MUSEUM PRACTICE	3	ART 1XXX	ART ELECTIVE	3	
ART 185	INTRODUCTION TO MUSEUM EDUCATION	3	ART 1XXX	ART ELECTIVE	3	
ART 186	COLLECTIONS MANAGEMENT	3	ART 1XXX	ART ELECTIVE	3	
ART 190	COORDINATED INTERNSHIP	1-5	VT XXXX	NO VIRGINIA TECH CREDIT	0	
ART 193	STUDIES IN	1-5	ART 1XXX	ART ELECTIVE	1-5	
ART 195	TOPICS IN	1-5	ART 1XXX	ART ELECTIVE	1-5	
ART 198	SEMINAR & PROJECT	1-5	ART 1XXX	ART ELECTIVE	1-5	
ART 199	SUPERVISED STUDY	1-5	ART 1XXX	ART ELECTIVE	1-5	
ART 200	HISTORY OF NON-WESTERN ART	3	ART 2XXX	ART ELECTIVE	3	
ART 203	ANIMATION I	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 204	ANIMATION II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 207	3D MODEL RENDERING	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 208	VIDEO TECHNIQUES	3-4	ART 1XXX	ART ELECTIVE	3-4	
ART 209	CREATIVE CONCEPTS AND WRITING	3	ART 2XXX	ART ELECTIVE	3	
ART 210	ADVANCED VIDEO TECHNIQUES	3	ART 2XXX	ART ELECTIVE	3	
ART 213	ITALIAN ART I	3	ART 2XXX	ART ELECTIVE	3	
ART 214	ADVANCED VIDEO PROJECT DEV	3	ART 2XXX	ART ELECTIVE	3	
ART 215	HISTORY OF MODERN ART	3	ART 2XXX	ART ELECTIVE	3	
ART 217	GRAPHIC DESIGN I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 218	GRAPHIC DESIGN II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 220	ADVANCED DESIGN FOR THE WEB	3	ART 2XXX	ART ELECTIVE	3	
ART 221	DRAWING III	3-4	ART 2514 OR ART 2514 + ART 2XXX	DRAWING CONCEPTS OR DRAWING CONCEPTS + ART ELECTIVE	3 OR 3+1	
ART 222	DRAWING IV	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 223	LIFE DRAWING	3	ART 2X6AD	ART ELECTIVE	3	APPLIES TO PATHWAY 6A OR D, GENERAL EDUCATION.
ART 228	MULTIMEDIA GRAPHIC DESIGN I	4	ART 2XXX	ART ELECTIVE	4	
ART 229	MULTIMEDIA GRAPHIC DESIGN II	4	ART 2XXX	ART ELECTIVE	4	
ART 231	SCULPTURE I	3-4	ART 2554 OR ART 2554 + ART 2XXX	INTRODUCTION TO SCULPTURE OR INTRODUCTION TO SCULPTURE + ART ELECTIVE	3 OR 3+1	
ART 232	SCULPTURE II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 235	FUNCTIONAL CERAMICS	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 236	SCULPTURAL CERAMICS	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 241	PAINTING I	3-4	ART 2524 OR ART 2524 + ART 2XXX	INTRODUCTION TO PAINTING OR INTRODUCTION TO PAINTING + ART ELECTIVE	3 OR 3+1	
ART 242	PAINTING II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 243	WATERCOLOR I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 244	WATERCOLOR II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 245	PORTRAIT PAINTING	3	ART 2XXX	ART ELECTIVE	3	
ART 246	FIGURE PAINTING	3	ART 2XXX	ART ELECTIVE	3	
ART 247	PAINTING TECHNIQUES FOR ILLUSTRATORS	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 248	PAINTING III	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 249	PAINTING IV	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 250	HISTORY OF DESIGN	3	ART 2XXX	ART ELECTIVE	3	
ART 251	COMMUNICATION DESIGN I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 252	COMMUNICATION DESIGN II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 259	LANDSCAPE PAINTING	3	ART 2XXX	ART ELECTIVE	3	
ART 263	INTERACTIVE DESIGN I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 264	INTERACTIVE DESIGN II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 265	GRAPHIC TECHNIQUES	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 266	PACKAGE DESIGN	3	ART 2XXX	ART ELECTIVE	3	
ART 268	PROFESSIONAL PRACTICES IN COMMUNICATION DESIGN	3	ART 2XXX	ART ELECTIVE	3	
ART 270	MOTION GRAPHICS I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 271	PRINTMAKING I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 272	PRINTMAKING II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 277	ADVANCED PRINTMAKING	4	ART 2XXX	ART ELECTIVE	4	
ART 280	GRAPHIC DESIGN FOR STUDIO ARTS	3	ART 2XXX	ART ELECTIVE	3	
ART 281	ILLUSTRATION FOR DESIGNERS	3	ART 1XXX	ART ELECTIVE	3	
ART 282	GRAPHIC TECHNIQUES	3	ART 2XXX	ART ELECTIVE	3	
ART 283	COMPUTER GRAPHICS I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 284	COMPUTER GRAPHICS II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 286	COMMUNICATION ARTS WORKSHOP	3	ART 1XXX	ART ELECTIVE	3	
ART 287	PORTFOLIO AND RESUME PREPARATION	1-4	ART 1XXX	ART ELECTIVE	1-4	
ART 290	COORDINATED INTERNSHIP	1-5	ART 2XXX	ART ELECTIVE	1-5	
ART 291	COMPUTERIZED GRAPHIC DESIGN I	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 292	COMPUTERIZED GRAPHIC DESIGN II	3-4	ART 2XXX	ART ELECTIVE	3-4	
ART 293	STUDIES IN	1-5	ART 2XXX	ART ELECTIVE	1-5	COLLEGE OF AA&D WILL CONSIDER DIRECT EQUIVALENT CREDIT WHEN SYLLABUS IS PROVIDED.
ART 295	TOPICS IN	1-5	ART 2XXX	ART ELECTIVE	1-5	COLLEGE OF AA&D WILL CONSIDER DIRECT EQUIVALENT CREDIT WHEN SYLLABUS IS PROVIDED.
ART 296	ON-SITE TRAINING	1-5	ART 2XXX	ART ELECTIVE	1-5	
ART 297	COOPERATIVE EDUCATION	1-6	ART 2XXX	ART ELECTIVE	1-6	
ART 298	SEMINAR AND PROJECT	1-5	ART 2XXX	ART ELECTIVE	1-5	COLLEGE OF AA&D WILL CONSIDER DIRECT EQUIVALENT CREDIT WHEN SYLLABUS IS PROVIDED.
ASL 101	BEGINNING AMERICAN SIGN LANGUAGE I	4	FL 1XXP	FOREIGN LANGUAGE ELECTIVE	4	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ASL 102	BEGINNING AMERICAN SIGN LANGUAGE II	4	FL 1XXP	FOREIGN LANGUAGE ELECTIVE	4	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ASL 125	HISTORY OF THE U.S. DEAF COMMUNITY	3	HD 1XXX	HUMAN DEVELOPMENT ELECTIVE	3	
ASL 150	WORKING WITH DEAF AND HARD-OF-HEARING PEOPLE	2	HD 1XXX	HUMAN DEVELOPMENT ELECTIVE	2	
ASL 201	INTERMEDIATE AMERICAN SIGN LANGUAGE I	3	FL 2XXP	FOREIGN LANGUAGE ELECTIVE	3	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ASL 202	INTERMEDIATE AMERICAN SIGN LANGUAGE II	3	FL 2XXP	FOREIGN LANGUAGE ELECTIVE	3	WITH PASSPORT OR UCGS, APPLIES TO GENERAL EDUCATION, PATHWAY 2.
ASL 208	ASL FOR CLASSROOM SETTINGS	3	FL 2XXX	FOREIGN LANGUAGE ELECTIVE	3	
ASL 220	COMPARATIVE LINGUISTICS: ASL & ENGLISH	3	ENGL 2XXX	ENGLISH ELECTIVE	3	
ASL 225	LITERATURE OF THE U.S. DEAF COMMUNITY	3	ENGL 2XXX	ENGLISH ELECTIVE	3	
ASL 261	ADVANCED AMERICAN SIGN LANGUAGE I	4	FL 2XXX	FOREIGN LANGUAGE ELECTIVE	4	
ASL 262	ADVANCED AMERICAN SIGN LANGUAGE II	4	FL 2XXX	FOREIGN LANGUAGE ELECTIVE	4	
AST	ALL ADMIN SUPPORT TECHNOLOGY COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
AUB	ALL AUTO BODY COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
AUT	ALL AUTOMOTIVE COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
AVI	ALL AVIONIC & AVIATION MECHANICS COURSES		VT XXXX	NO VIRGINIA TECH CREDIT	0	
BIO 100	BASIC HUMAN BIOLOGY	3	BIOL 1054	HUMAN BIOLOGY: CONCEPTS AND CURRENT ISSUES	3	
BIO 101	GENERAL BIOLOGY I	4	BIOL 1105 + 1115	PRINCIPLES OF BIOLOGY + LAB	4	
BIO 102	GENERAL BIOLOGY II	4	BIOL 1106 + 1116	PRINCIPLES OF BIOLOGY + LAB	4	
BIO 106	LIFE SCIENCE	4	BIOL 1014 + 1XXP	INTRODUCTION TO BIOLOGY + BIOLOGY ELECTIVE	3+1	WITH PASSPORT OR UCGS, 1XXP COURSE APPLIES TO GENERAL EDUCATION, PATHWAY 4.
BIO 107	BIOLOGY OF THE ENVIRONMENT	4	VT 1XXX	VIRGINIA TECH ELECTIVE	4	
BIO 110	GENERAL BOTANY	4	BIOL 2304 + BIOL 1XXX	PLANT BIOLOGY + BIOLOGY ELECTIVE	4	
BIO 120	GENERAL ZOOLOGY	4	BIOL 2504 + BIOL 1XXX	GENERAL ZOOLOGY + BIOLOGY ELECTIVE	3+1	
BIO 141	HUMAN ANATOMY & PHYSIOLOGY I	4	BMSP 2135 + 2145	HUMAN ANATOMY AND PHYSIOLOGY + LAB	3+1	
BIO 142	HUMAN ANATOMY & PHYSIOLOGY II	4	BMSP 2136 + 2146	HUMAN ANATOMY AND PHYSIOLOGY + LAB	3+1	
BIO 145	BASIC HUMAN ANATOMY & PHYSIOLOGY	4	BIOL 1XXX	BIOLOGY ELECTIVE	4	BIOLOGY DEPARTMENT WILL CONSIDER DIRECT EQUIVALENT CREDIT WHEN SYLLABUS IS PROVIDED.
BIO 146	HUMAN HEREDITY	3	BIOL 1XXX	BIOLOGY ELECTIVE	3	BIOLOGY DEPARTMENT WILL CONSIDER DIRECT EQUIVALENT CREDIT WHEN SYLLABUS IS PROVIDED.
BIO 147	BASIC LAB CALCULATIONS FOR BIOTECHNOLOGY	1	BIOL 1XXX	BIOLOGY ELECTIVE	1	
BIO 150	MICROBIOLOGY FOR HEALTH SCIENCES	4	BIOL 2604 + 2614	GENERAL MICROBIOLOGY + LAB	3+1	
BIO 151	HUMAN GROSS ANATOMY I	1	BIOL 2XXX	BIOLOGY ELECTIVE	1	
BIO 152	HUMAN GROSS ANATOMY II	1	BIOL 2XXX	BIOLOGY ELECTIVE	1	
BIO 165	PRINCIPLES IN REGULATORY AND QUALITY ENVIRONMENTS FOR BIOTECHNOLOGY	2	BIOL 1XXX	BIOLOGY ELECTIVE	2	
BIO 170	BIOTECHNOLOGY METHODS	1-2	BIOL 1XXX	BIOLOGY ELECTIVE	1-2	
